../../../pdielec -processors 4 -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -optical_tensor 2.3471 0 0.0786 0 2.3942 0 0.0786 0 2.2621 -csv command.csv -masses program LEUCINE_FREQUENCY_PBED3_631Gdp_FULLOPTIMIZATON.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 251, 3063.66,         1.071645,                4528.341818,   576.5664,     5.0
 252, 3072.33,         1.409395,                5955.539717,   758.2829,     5.0
 253, 3073.06,         0.989245,                4180.153629,   532.2337,     5.0
 254, 3076.96,         4.462277,               18855.796711,  2400.7946,     5.0
 255, 3076.98,         1.703150,                7196.828986,   916.3287,     5.0
 256, 3078.32,         0.001261,                   5.329872,     0.6786,     5.0
 257, 3079.23,        11.504972,               48615.410289,  6189.9063,     5.0
 258, 3079.68,         0.668664,                2825.505715,   359.7546,     5.0
 259, 3081.18,         2.268247,                9584.706247,  1220.3627,     5.0
 260, 3088.14,         0.979573,                4139.284559,   527.0301,     5.0
 261, 3088.35,         0.002485,                  10.498602,     1.3367,     5.0
 262, 3171.31,        13.675149,               57785.709769,  7357.5051,     5.0
 263, 3187.76,        45.360015,              191673.278433, 24404.5998,     5.0
