../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  315.600000,    9.461450,          0.58341364,          3.88568977,          4.95660919,          2.46701534,          2.92666083,          3.22757498,          0.00359383,          0.02607072,          0.03492397,          1.97048055,         13.12392382,         16.74095597
,,,,,,  315.800000,    9.467446,          0.58529133,          3.91323731,          4.98914914,          2.46730308,          2.92874595,          3.23036882,          0.00360332,          0.02624827,          0.03514619,          1.97682246,         13.21696567,         16.85085973
,,,,,,  316.000000,    9.473442,          0.58717644,          3.94106400,          5.02199443,          2.46759158,          2.93084524,          3.23318040,          0.00361285,          0.02642766,          0.03537057,          1.98318944,         13.31095037,         16.96179475
,,,,,,  316.200000,    9.479438,          0.58906902,          3.96917362,          5.05514893,          2.46788084,          2.93295884,          3.23600990,          0.00362241,          0.02660891,          0.03559713,          1.98958162,         13.40589067,         17.07377411
,,,,,,  316.400000,    9.485433,          0.59096910,          3.99757001,          5.08861656,          2.46817087,          2.93508691,          3.23885749,          0.00363201,          0.02679205,          0.03582591,          1.99599914,         13.50179951,         17.18681110
,,,,,,  316.600000,    9.491429,          0.59287671,          4.02625705,          5.12240134,          2.46846166,          2.93722960,          3.24172335,          0.00364165,          0.02697712,          0.03605693,          2.00244210,         13.59869006,         17.30091925
,,,,,,  316.800000,    9.497425,          0.59479190,          4.05523873,          5.15650733,          2.46875323,          2.93938705,          3.24460766,          0.00365132,          0.02716412,          0.03629023,          2.00891066,         13.69657570,         17.41611228
,,,,,,  317.000000,    9.503421,          0.59671471,          4.08451906,          5.19093866,          2.46904557,          2.94155943,          3.24751059,          0.00366103,          0.02735310,          0.03652584,          2.01540493,         13.79547007,         17.53240415
,,,,,,  317.200000,    9.509417,          0.59864516,          4.11410215,          5.22569953,          2.46933869,          2.94374689,          3.25043233,          0.00367078,          0.02754408,          0.03676378,          2.02192506,         13.89538702,         17.64980905
,,,,,,  317.400000,    9.515413,          0.60058331,          4.14399217,          5.26079421,          2.46963259,          2.94594959,          3.25337307,          0.00368056,          0.02773709,          0.03700409,          2.02847117,         13.99634063,         17.76834141
